time,Total gas used
2024-03-19 16:15,2089.107
2024-03-19 16:30,2089.153
2024-03-19 16:45,2089.174
2024-03-19 17:00,2089.265
2024-03-19 17:15,2089.285
2024-03-19 17:30,2089.285
2024-03-19 17:45,2089.285
2024-03-19 18:00,2089.285
2024-03-19 18:15,2089.285
2024-03-19 18:30,2089.285
2024-03-19 18:45,2089.289
2024-03-19 19:00,2089.289
2024-03-19 19:15,2089.289
2024-03-19 19:30,2089.289
2024-03-19 19:45,2089.289
2024-03-19 20:00,2089.296
2024-03-19 20:15,2089.298
2024-03-19 20:30,2089.298
2024-03-19 20:45,2089.298
2024-03-19 21:00,2089.298
2024-03-19 21:15,2089.320
2024-03-19 21:30,2089.320
2024-03-19 21:45,2089.320
2024-03-19 22:00,2089.320
2024-03-19 22:15,2089.320
2024-03-19 22:30,2089.320
2024-03-19 22:45,2089.320
2024-03-19 23:00,2089.320
2024-03-19 23:15,2089.320
2024-03-19 23:30,2089.320
2024-03-19 23:45,2089.320
2024-03-20 00:00,2089.320
2024-03-20 00:15,2089.325
2024-03-20 00:30,2089.325
2024-03-20 00:45,2089.325
2024-03-20 01:00,2089.325
2024-03-20 01:15,2089.325
2024-03-20 01:30,2089.327
2024-03-20 01:45,2089.327
2024-03-20 02:00,2089.327
2024-03-20 02:15,2089.327
2024-03-20 02:30,2089.327
2024-03-20 02:45,2089.327
2024-03-20 03:00,2089.331
2024-03-20 03:15,2089.331
2024-03-20 03:30,2089.331
2024-03-20 03:45,2089.331
2024-03-20 04:00,2089.331
2024-03-20 04:15,2089.336
2024-03-20 04:30,2089.336
2024-03-20 04:45,2089.336
2024-03-20 05:00,2089.336
2024-03-20 05:15,2089.336
2024-03-20 05:30,2089.336
2024-03-20 05:45,2089.340
2024-03-20 06:00,2089.340
2024-03-20 06:15,2089.536
2024-03-20 06:30,2089.546
2024-03-20 06:45,2089.546
2024-03-20 07:00,2089.546
2024-03-20 07:15,2089.546
2024-03-20 07:30,2089.793
2024-03-20 07:45,2089.856
2024-03-20 08:00,2089.856
2024-03-20 08:15,2089.856
2024-03-20 08:30,2089.858
2024-03-20 08:45,2089.858
2024-03-20 09:00,2089.858
2024-03-20 09:15,2089.858
2024-03-20 09:30,2089.910
2024-03-20 09:45,2089.948
2024-03-20 10:00,2089.987
2024-03-20 10:15,2090.039
2024-03-20 10:30,2090.064
2024-03-20 10:45,2090.106
2024-03-20 11:00,2090.133
2024-03-20 11:15,2090.179
2024-03-20 11:30,2090.184
2024-03-20 11:45,2090.184
2024-03-20 12:00,2090.184
2024-03-20 12:15,2090.184
2024-03-20 12:30,2090.184
2024-03-20 12:45,2090.188
2024-03-20 13:00,2090.188
2024-03-20 13:15,2090.188
2024-03-20 13:30,2090.188
2024-03-20 13:45,2090.188
2024-03-20 14:00,2090.188
2024-03-20 14:15,2090.192
2024-03-20 14:30,2090.192
2024-03-20 14:45,2090.192
2024-03-20 15:00,2090.192
2024-03-20 15:15,2090.192
2024-03-20 15:30,2090.197
2024-03-20 15:45,2090.197
2024-03-20 16:00,2090.197
2024-03-20 16:15,2090.197
2024-03-20 16:30,2090.197
2024-03-20 16:45,2090.197
2024-03-20 17:00,2090.202
2024-03-20 17:15,2090.202
2024-03-20 17:30,2090.202
2024-03-20 17:45,2090.202
2024-03-20 18:00,2090.202
